L/R;Position Real;Rotation Real;Rotation Real Normalized
L;(0.978, 1.387, -13.159);(330.930, 328.571, 300.689);(0.596, 0.592, 0.542)
L;(0.977, 1.387, -13.166);(331.869, 329.318, 299.446);(0.598, 0.593, 0.539)
L;(0.976, 1.387, -13.172);(332.438, 329.929, 298.203);(0.599, 0.594, 0.537)
L;(0.973, 1.388, -13.179);(332.618, 331.241, 297.474);(0.599, 0.596, 0.535)
L;(0.971, 1.389, -13.187);(332.965, 332.401, 297.185);(0.598, 0.597, 0.534)
L;(0.969, 1.389, -13.194);(333.745, 333.135, 296.563);(0.599, 0.598, 0.532)
L;(0.967, 1.387, -13.203);(334.812, 334.005, 295.329);(0.600, 0.599, 0.530)
L;(0.965, 1.386, -13.210);(336.015, 334.955, 293.863);(0.602, 0.600, 0.527)
L;(0.963, 1.384, -13.218);(337.580, 335.873, 292.148);(0.604, 0.601, 0.523)
L;(0.960, 1.383, -13.226);(338.103, 336.723, 290.722);(0.605, 0.603, 0.520)
L;(0.956, 1.383, -13.234);(337.860, 338.309, 290.230);(0.604, 0.605, 0.519)
L;(0.954, 1.381, -13.242);(338.328, 339.396, 290.192);(0.604, 0.606, 0.518)
L;(0.952, 1.378, -13.249);(339.464, 340.057, 289.479);(0.605, 0.606, 0.516)
L;(0.950, 1.374, -13.256);(340.728, 340.748, 288.401);(0.607, 0.607, 0.514)
L;(0.948, 1.369, -13.264);(342.468, 341.433, 287.083);(0.609, 0.607, 0.510)
L;(0.947, 1.365, -13.270);(344.218, 341.767, 285.436);(0.612, 0.607, 0.507)
L;(0.945, 1.361, -13.276);(344.607, 342.604, 284.014);(0.612, 0.609, 0.505)
L;(0.942, 1.358, -13.282);(345.139, 344.032, 283.576);(0.612, 0.610, 0.503)
L;(0.941, 1.353, -13.288);(346.317, 344.593, 283.346);(0.613, 0.610, 0.502)
L;(0.941, 1.349, -13.293);(347.764, 344.511, 283.034);(0.615, 0.609, 0.501)
L;(0.940, 1.343, -13.297);(349.451, 344.507, 282.627);(0.617, 0.608, 0.499)
L;(0.939, 1.337, -13.301);(351.436, 344.287, 281.995);(0.620, 0.607, 0.497)
L;(0.937, 1.332, -13.305);(352.659, 344.523, 281.076);(0.621, 0.607, 0.495)
L;(0.935, 1.327, -13.309);(353.744, 345.352, 280.698);(0.622, 0.607, 0.494)
L;(0.932, 1.322, -13.312);(355.054, 346.080, 279.836);(0.624, 0.608, 0.492)
L;(0.930, 1.317, -13.315);(356.062, 346.900, 278.834);(0.625, 0.609, 0.489)
L;(0.928, 1.314, -13.317);(356.823, 347.527, 278.294);(0.625, 0.609, 0.488)
L;(0.926, 1.310, -13.319);(357.827, 347.516, 278.313);(0.626, 0.608, 0.487)
L;(0.924, 1.306, -13.320);(358.933, 347.493, 277.901);(0.628, 0.608, 0.486)
L;(0.922, 1.303, -13.322);(359.753, 347.736, 277.265);(0.629, 0.608, 0.485)
L;(0.920, 1.301, -13.322);(0.166, 348.064, 276.676);(0.000, 0.783, 0.622)
L;(0.919, 1.300, -13.323);(0.031, 348.141, 276.911);(0.000, 0.783, 0.622)
L;(0.918, 1.300, -13.324);(359.970, 347.968, 277.799);(0.629, 0.608, 0.485)
L;(0.917, 1.300, -13.324);(359.511, 348.047, 278.432);(0.628, 0.608, 0.486)
