L/R;Position Real;Position Virtual;Distance;Rotation Real;Rotation Virtual;Rotation Similarity;Rotation Real Normalized;Rotation Virtual Normalized
R;(0.992, 1.177, -13.333);(0.982, 1.192, -13.310);0,029;(296.398, 190.741, 165.738);(308.453, 205.023, 145.690);0,9899588;(0.761, 0.490, 0.426);(0.775, 0.515, 0.366)
R;(0.992, 1.177, -13.333);(0.982, 1.189, -13.309);0,029;(296.398, 190.741, 165.738);(309.552, 204.399, 146.493);0,9891673;(0.761, 0.490, 0.426);(0.776, 0.513, 0.367)
R;(0.991, 1.176, -13.332);(0.982, 1.189, -13.309);0,028;(296.991, 190.209, 166.060);(309.552, 204.399, 146.493);0,9895897;(0.762, 0.488, 0.426);(0.776, 0.513, 0.367)
R;(0.990, 1.174, -13.330);(0.982, 1.188, -13.309);0,027;(297.892, 188.675, 167.220);(309.890, 204.215, 146.732);0,9896434;(0.763, 0.483, 0.428);(0.777, 0.512, 0.368)
R;(0.990, 1.174, -13.330);(0.982, 1.186, -13.307);0,027;(297.892, 188.675, 167.220);(310.788, 203.745, 147.349);0,9890023;(0.763, 0.483, 0.428);(0.777, 0.510, 0.369)
R;(0.990, 1.173, -13.330);(0.982, 1.186, -13.307);0,027;(297.689, 188.876, 167.078);(310.788, 203.745, 147.349);0,9888842;(0.763, 0.484, 0.428);(0.777, 0.510, 0.369)
R;(0.990, 1.173, -13.330);(0.982, 1.185, -13.307);0,027;(297.689, 188.876, 167.078);(310.905, 203.685, 147.428);0,9887931;(0.763, 0.484, 0.428);(0.778, 0.509, 0.369)
R;(0.990, 1.173, -13.330);(0.982, 1.185, -13.307);0,027;(297.689, 188.876, 167.078);(310.905, 203.685, 147.428);0,9887931;(0.763, 0.484, 0.428);(0.778, 0.509, 0.369)
R;(0.990, 1.172, -13.327);(0.982, 1.185, -13.307);0,026;(298.513, 186.959, 168.767);(310.905, 203.685, 147.428);0,9887186;(0.764, 0.479, 0.432);(0.778, 0.509, 0.369)
R;(0.990, 1.169, -13.326);(0.982, 1.183, -13.306);0,025;(299.107, 186.249, 169.763);(311.650, 203.316, 147.919);0,9881282;(0.765, 0.476, 0.434);(0.778, 0.508, 0.369)
R;(0.990, 1.169, -13.326);(0.982, 1.181, -13.305);0,025;(299.107, 186.249, 169.763);(312.385, 202.967, 148.388);0,987576;(0.765, 0.476, 0.434);(0.779, 0.506, 0.370)
R;(0.990, 1.170, -13.326);(0.982, 1.181, -13.305);0,025;(298.908, 186.400, 169.613);(312.385, 202.967, 148.388);0,9874835;(0.765, 0.477, 0.434);(0.779, 0.506, 0.370)
R;(0.990, 1.170, -13.326);(0.982, 1.181, -13.305);0,025;(298.908, 186.400, 169.613);(312.336, 202.990, 148.357);0,9875225;(0.765, 0.477, 0.434);(0.779, 0.506, 0.370)
R;(0.990, 1.168, -13.324);(0.982, 1.181, -13.305);0,025;(299.179, 185.387, 170.375);(312.336, 202.990, 148.357);0,9873623;(0.765, 0.474, 0.436);(0.779, 0.506, 0.370)
R;(0.990, 1.168, -13.324);(0.982, 1.180, -13.304);0,025;(299.179, 185.387, 170.375);(313.038, 202.670, 148.793);0,9867978;(0.765, 0.474, 0.436);(0.780, 0.505, 0.371)
R;(0.989, 1.167, -13.324);(0.982, 1.180, -13.304);0,024;(299.080, 185.416, 170.047);(313.038, 202.670, 148.793);0,9868913;(0.765, 0.474, 0.435);(0.780, 0.505, 0.371)
R;(0.989, 1.167, -13.324);(0.982, 1.179, -13.304);0,024;(299.080, 185.416, 170.047);(313.283, 202.561, 148.942);0,9866818;(0.765, 0.474, 0.435);(0.780, 0.504, 0.371)
R;(0.989, 1.167, -13.323);(0.982, 1.179, -13.304);0,023;(299.065, 185.482, 169.831);(313.283, 202.561, 148.942);0,9867821;(0.765, 0.475, 0.435);(0.780, 0.504, 0.371)
R;(0.989, 1.167, -13.323);(0.982, 1.179, -13.304);0,023;(299.065, 185.482, 169.831);(313.423, 202.499, 149.027);0,9866589;(0.765, 0.475, 0.435);(0.780, 0.504, 0.371)
R;(0.988, 1.167, -13.322);(0.982, 1.179, -13.304);0,023;(299.002, 185.544, 169.805);(313.423, 202.499, 149.027);0,9866143;(0.765, 0.475, 0.435);(0.780, 0.504, 0.371)
R;(0.988, 1.167, -13.322);(0.982, 1.178, -13.303);0,023;(299.002, 185.544, 169.805);(313.569, 202.436, 149.114);0,9864841;(0.765, 0.475, 0.435);(0.780, 0.504, 0.371)
R;(0.988, 1.167, -13.322);(0.982, 1.178, -13.303);0,023;(299.044, 185.566, 169.898);(313.569, 202.436, 149.114);0,9864748;(0.765, 0.475, 0.435);(0.780, 0.504, 0.371)
R;(0.988, 1.166, -13.321);(0.982, 1.178, -13.303);0,022;(299.285, 185.332, 170.098);(313.678, 202.388, 149.180);0,9864959;(0.766, 0.474, 0.435);(0.780, 0.503, 0.371)
R;(0.988, 1.166, -13.321);(0.982, 1.178, -13.303);0,022;(299.285, 185.332, 170.098);(313.834, 202.321, 149.273);0,9863567;(0.766, 0.474, 0.435);(0.780, 0.503, 0.371)
R;(0.988, 1.166, -13.321);(0.982, 1.178, -13.303);0,022;(299.215, 185.499, 169.894);(313.834, 202.321, 149.273);0,9863995;(0.765, 0.475, 0.435);(0.780, 0.503, 0.371)
R;(0.988, 1.166, -13.321);(0.982, 1.178, -13.303);0,022;(299.215, 185.499, 169.894);(313.828, 202.324, 149.269);0,9864051;(0.765, 0.475, 0.435);(0.780, 0.503, 0.371)
R;(0.988, 1.166, -13.321);(0.982, 1.178, -13.303);0,022;(299.215, 185.499, 169.894);(313.828, 202.324, 149.269);0,9864051;(0.765, 0.475, 0.435);(0.780, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.178, -13.303);0,022;(299.354, 185.519, 169.688);(313.828, 202.324, 149.269);0,9866421;(0.766, 0.475, 0.434);(0.780, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.177, -13.303);0,022;(299.354, 185.519, 169.688);(314.032, 202.238, 149.389);0,9864579;(0.766, 0.475, 0.434);(0.781, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.177, -13.303);0,022;(299.643, 185.308, 169.931);(314.032, 202.238, 149.389);0,9866004;(0.766, 0.474, 0.434);(0.781, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.177, -13.303);0,022;(299.643, 185.308, 169.931);(314.037, 202.235, 149.392);0,9865958;(0.766, 0.474, 0.434);(0.781, 0.503, 0.371)
R;(0.988, 1.166, -13.320);(0.982, 1.177, -13.303);0,021;(299.898, 185.180, 170.177);(314.037, 202.235, 149.392);0,9866984;(0.766, 0.473, 0.435);(0.781, 0.503, 0.371)
R;(0.988, 1.167, -13.320);(0.982, 1.177, -13.303);0,021;(300.172, 185.202, 170.337);(314.032, 202.237, 149.390);0,986862;(0.766, 0.473, 0.435);(0.781, 0.503, 0.371)
R;(0.988, 1.167, -13.320);(0.982, 1.178, -13.303);0,021;(300.172, 185.202, 170.337);(313.851, 202.314, 149.283);0,9870128;(0.766, 0.473, 0.435);(0.780, 0.503, 0.371)
